i,j,date_i,time_i,ref_i,date_j,time_j,ref_j,delta_sec,time_score
0,1,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,2,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,3,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,4,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,5,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,6,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,7,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,8,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,9,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,10,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,11,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,12,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,13,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,14,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,15,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,16,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,17,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,18,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,19,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,20,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,21,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,22,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,23,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,24,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,25,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,26,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
0,27,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
0,28,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
0,29,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
0,30,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
0,31,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
0,32,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
0,33,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
0,34,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
0,35,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
0,36,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
0,37,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
0,38,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
0,104,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,105,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,106,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,107,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,108,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,109,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,110,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,111,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,112,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,113,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,114,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,115,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,116,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
0,117,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,118,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,119,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,120,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,121,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,122,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,123,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,124,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,125,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,126,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,127,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,128,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
0,129,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,2,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,3,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,4,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,5,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,6,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,7,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,8,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,9,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,10,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,11,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,12,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,13,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,14,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,15,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,16,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,17,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,18,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,19,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,20,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,21,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,22,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,23,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,24,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,25,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,26,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
1,27,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
1,28,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
1,29,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
1,30,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
1,31,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
1,32,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
1,33,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
1,34,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
1,35,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
1,36,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
1,37,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
1,38,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
1,104,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,105,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,106,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,107,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,108,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,109,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,110,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,111,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,112,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,113,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,114,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,115,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,116,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
1,117,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,118,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,119,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,120,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,121,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,122,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,123,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,124,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,125,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,126,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,127,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,128,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
1,129,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,3,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,4,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,5,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,6,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,7,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,8,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,9,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,10,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,11,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,12,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,13,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,14,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,15,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,16,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,17,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,18,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,19,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,20,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,21,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,22,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,23,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,24,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,25,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,26,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
2,27,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
2,28,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
2,29,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
2,30,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
2,31,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
2,32,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
2,33,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
2,34,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
2,35,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
2,36,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
2,37,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
2,38,2025-08-04,05:58:00,part1.txt,2025-08-04,06:03:00,part1.txt,300.0,1
2,104,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,105,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,106,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,107,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,108,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,109,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,110,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,111,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,112,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,113,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,114,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,115,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,116,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
2,117,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,118,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,119,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,120,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,121,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,122,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,123,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,124,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,125,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,126,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,127,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,128,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
2,129,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
3,4,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
3,5,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
3,6,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
3,7,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
3,8,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
3,9,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
3,10,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
3,11,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
3,12,2025-08-04,05:58:00,part1.txt,2025-08-04,05:58:00,part1.txt,0.0,3
3,13,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
3,14,2025-08-04,05:58:00,part1.txt,2025-08-04,06:00:00,part1.txt,120.0,1
